D_TEMPORAL_0;D_CNAE09_0;D_ESTRATO_ASALARIADOS_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2016;6949;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2016;7058;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2016;7605;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2016;838683;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2016;838684;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2016;838685;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2016;7627;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2016;7663;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2016;7716;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2016;7859;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2016;7958;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2016;7888;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2016;8031;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2016;8165;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2016;8255;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2017;6949;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2017;7058;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2017;7605;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2017;838683;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2017;838684;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
2017;7627;38282;3143;38435;% de empresas que realizaron análisis de Big Data con sus propios empleados;;A
