D_SEXO_0;D_EDAD_0;D_TEMPORAL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3689;4191;2021;3143;Tasa de actividad;36.39189919520113;M
3689;272250;2021;3143;Tasa de actividad;87.48544885360417;M
3689;4210;2021;3143;Tasa de actividad;92.38964062879586;M
3689;272251;2021;3143;Tasa de actividad;89.49135336920303;M
3689;4235;2021;3143;Tasa de actividad;68.97902555349773;M
3689;4305;2021;3143;Tasa de actividad;3.655273606978229;M
3689;4306;2021;3143;Tasa de actividad;63.45366647916628;M
3690;4191;2021;3143;Tasa de actividad;29.62995478896634;M
3690;272250;2021;3143;Tasa de actividad;81.38946657774409;M
3690;4210;2021;3143;Tasa de actividad;81.56474927555722;M
3690;272251;2021;3143;Tasa de actividad;73.97574700608457;M
3690;4235;2021;3143;Tasa de actividad;48.846618083339344;M
3690;4305;2021;3143;Tasa de actividad;2.4167481482151896;M
3690;4306;2021;3143;Tasa de actividad;50.885295604191185;M
3691;4191;2021;3143;Tasa de actividad;33.09970809222154;M
3691;272250;2021;3143;Tasa de actividad;84.47853658411367;M
3691;4210;2021;3143;Tasa de actividad;86.95772114676187;M
3691;272251;2021;3143;Tasa de actividad;81.72474732722905;M
3691;4235;2021;3143;Tasa de actividad;58.71311160343576;M
3691;4305;2021;3143;Tasa de actividad;2.966510040584023;M
3691;4306;2021;3143;Tasa de actividad;57.026232348544234;M
3689;4191;2021;3143;Tasa de empleo;20.797682101157974;M
3689;272250;2021;3143;Tasa de empleo;66.30609392532708;M
3689;4210;2021;3143;Tasa de empleo;79.40680151860938;M
3689;272251;2021;3143;Tasa de empleo;77.51142432674001;M
3689;4235;2021;3143;Tasa de empleo;56.49432255230313;M
3689;4305;2021;3143;Tasa de empleo;3.520249872377161;M
3689;4306;2021;3143;Tasa de empleo;51.71276796490961;M
3690;4191;2021;3143;Tasa de empleo;15.816340945445189;M
3690;272250;2021;3143;Tasa de empleo;61.35473791247076;M
3690;4210;2021;3143;Tasa de empleo;63.90303697625209;M
3690;272251;2021;3143;Tasa de empleo;54.599568340817314;M
3690;4235;2021;3143;Tasa de empleo;36.83350285849556;M
3690;4305;2021;3143;Tasa de empleo;2.2446138526793384;M
3690;4306;2021;3143;Tasa de empleo;37.937742783367725;M
3691;4191;2021;3143;Tasa de empleo;18.37241415328448;M
3691;272250;2021;3143;Tasa de empleo;63.86378151824703;M
3691;4210;2021;3143;Tasa de empleo;71.62702822441345;M
3691;272251;2021;3143;Tasa de empleo;66.04249717245898;M
3691;4235;2021;3143;Tasa de empleo;46.46888056462791;M
3691;4305;2021;3143;Tasa de empleo;2.810848536997683;M
3691;4306;2021;3143;Tasa de empleo;44.66825377267577;M
3689;4191;2021;3143;Tasa de paro;42.85079217877013;M
3689;272250;2021;3143;Tasa de paro;24.209002989420636;M
3689;4210;2021;3143;Tasa de paro;14.052267139287936;M
3689;272251;2021;3143;Tasa de paro;13.386688871537059;M
3689;4235;2021;3143;Tasa de paro;18.099274237372203;M
3689;4305;2021;3143;Tasa de paro;3.6939433027200956;M
3689;4306;2021;3143;Tasa de paro;18.503104967325328;M
3690;4191;2021;3143;Tasa de paro;46.62043510327963;M
3690;272250;2021;3143;Tasa de paro;24.615874151400092;M
3690;4210;2021;3143;Tasa de paro;21.653609501865848;M
3690;272251;2021;3143;Tasa de paro;26.192609672023394;M
3690;4235;2021;3143;Tasa de paro;24.593545461730198;M
3690;4305;2021;3143;Tasa de paro;7.122558288209528;M
3690;4306;2021;3143;Tasa de paro;25.444586038244477;M
3691;4191;2021;3143;Tasa de paro;44.49372755162752;M
3691;272250;2021;3143;Tasa de paro;24.402358160336895;M
3691;4210;2021;3143;Tasa de paro;17.630053686059945;M
3691;272251;2021;3143;Tasa de paro;19.189108155914795;M
3691;4235;2021;3143;Tasa de paro;20.854338501949456;M
3691;4305;2021;3143;Tasa de paro;5.247294007327727;M
3691;4306;2021;3143;Tasa de paro;21.670690955587798;M
