D_TEMPORAL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
1998;3143;% Turistas;100.0;A
1998;2352;% Turistas;13.084015636878707;A
1998;2402;% Turistas;13.677005546489415;A
1998;2482;% Turistas;3.453849371799068;A
1998;2713;% Turistas;15.686680449343045;A
1998;2797;% Turistas;7.1494899111530605;A
1998;2911;% Turistas;4.648551419324266;A
1998;3023;% Turistas;35.3713587088097;A
1998;3142;% Turistas;6.929048956202729;A
1999;3143;% Turistas;100.0;A
1999;2352;% Turistas;8.955097892005115;A
1999;2402;% Turistas;13.430364405317352;A
1999;2482;% Turistas;4.046402796054664;A
1999;2713;% Turistas;14.226807025528654;A
1999;2797;% Turistas;6.589110660222319;A
1999;2911;% Turistas;4.665034646227246;A
1999;3023;% Turistas;37.702004534245646;A
1999;3142;% Turistas;10.385178040399005;A
2000;3143;% Turistas;100.0;A
2000;2352;% Turistas;10.039786603337173;A
2000;2402;% Turistas;14.44662144480493;A
2000;2482;% Turistas;3.7935197820018383;A
2000;2713;% Turistas;12.002687008192597;A
2000;2797;% Turistas;6.638686810646977;A
2000;2911;% Turistas;4.688537673936953;A
2000;3023;% Turistas;38.366722831808914;A
2000;3142;% Turistas;10.023437845270616;A
2001;3143;% Turistas;100.0;A
2001;2352;% Turistas;10.115780164852888;A
2001;2402;% Turistas;16.258662686074405;A
2001;2482;% Turistas;3.8426267534750402;A
2001;2713;% Turistas;13.470460498329567;A
2001;2797;% Turistas;7.36865870373636;A
2001;2911;% Turistas;4.511899373514022;A
2001;3023;% Turistas;35.73361445381157;A
2001;3142;% Turistas;8.698297366206145;A
2002;3143;% Turistas;100.0;A
2002;2352;% Turistas;12.72472116267026;A
2002;2402;% Turistas;14.627383754042949;A
2002;2482;% Turistas;3.980813680079962;A
2002;2713;% Turistas;12.39771843035272;A
2002;2797;% Turistas;6.508332959244132;A
2002;2911;% Turistas;3.965530083755807;A
2002;3023;% Turistas;36.67513999698816;A
2002;3142;% Turistas;9.120359932866009;A
2003;3143;% Turistas;100.0;A
2003;2352;% Turistas;12.687702592648984;A
2003;2402;% Turistas;14.814118251346958;A
2003;2482;% Turistas;4.185207960482383;A
2003;2713;% Turistas;12.218020051863869;A
2003;2797;% Turistas;6.445948851029271;A
2003;2911;% Turistas;3.7845761406305702;A
2003;3023;% Turistas;37.262753009074956;A
2003;3142;% Turistas;8.601673142923012;A
2004;3143;% Turistas;100.0;A
2004;2352;% Turistas;13.390858706107814;A
2004;2402;% Turistas;15.405346814255235;A
2004;2482;% Turistas;4.352430198805453;A
2004;2713;% Turistas;12.37309815180291;A
2004;2797;% Turistas;7.175351507501025;A
2004;2911;% Turistas;3.9400722703273066;A
2004;3023;% Turistas;34.730125865314335;A
2004;3142;% Turistas;8.632716485885904;A
2005;3143;% Turistas;100.0;A
2005;2352;% Turistas;11.85070889756257;A
2005;2402;% Turistas;14.724659555000146;A
2005;2482;% Turistas;4.474391793471259;A
2005;2713;% Turistas;13.50301949668172;A
2005;2797;% Turistas;7.612352559680955;A
2005;2911;% Turistas;3.8082799743481885;A
2005;3023;% Turistas;35.16795383574078;A
2005;3142;% Turistas;8.858633887514383;A
2006;3143;% Turistas;100.0;A
2006;2352;% Turistas;9.29854386046156;A
2006;2402;% Turistas;15.26213779487474;A
2006;2482;% Turistas;4.965548379075071;A
2006;2713;% Turistas;14.209007348218389;A
2006;2797;% Turistas;8.787003847767828;A
2006;2911;% Turistas;4.1888889320612535;A
2006;3023;% Turistas;31.892184053094187;A
2006;3142;% Turistas;11.396685784446975;A
2007;3143;% Turistas;100.0;A
2007;2352;% Turistas;9.674128219133289;A
2007;2402;% Turistas;15.059097221089893;A
2007;2482;% Turistas;5.034202125028813;A
2007;2713;% Turistas;13.804691803004207;A
2007;2797;% Turistas;8.444566349649374;A
2007;2911;% Turistas;3.855656734580292;A
2007;3023;% Turistas;32.965722452916374;A
2007;3142;% Turistas;11.16193509459778;A
2008;3143;% Turistas;100.0;A
2008;2352;% Turistas;8.850189474564788;A
2008;2402;% Turistas;14.992040321780683;A
2008;2482;% Turistas;5.107615621153752;A
2008;2713;% Turistas;13.902388985155936;A
2008;2797;% Turistas;8.046291998061525;A
2008;2911;% Turistas;3.349729900618708;A
2008;3023;% Turistas;34.44976812923662;A
2008;3142;% Turistas;11.301975569427984;A
2009;3143;% Turistas;100.0;A
2009;2352;% Turistas;8.558463769707512;A
2009;2402;% Turistas;15.390328553685201;A
2009;2482;% Turistas;5.027952605071376;A
2009;2713;% Turistas;13.648642732041303;A
2009;2797;% Turistas;8.046815710756018;A
2009;2911;% Turistas;3.480803962336131;A
2009;3023;% Turistas;34.16389375367708;A
2009;3142;% Turistas;11.683098912725388;A
2010;3143;% Turistas;100.0;A
2010;2352;% Turistas;7.501598574776256;A
2010;2402;% Turistas;14.592606694997908;A
2010;2482;% Turistas;5.023934477597591;A
2010;2713;% Turistas;14.086050096452455;A
2010;2797;% Turistas;7.9807248700643845;A
2010;2911;% Turistas;3.36039764875662;A
2010;3023;% Turistas;34.67293648603405;A
2010;3142;% Turistas;12.781751151320739;A
2011;3143;% Turistas;100.0;A
2011;2352;% Turistas;7.800509818398653;A
2011;2402;% Turistas;14.987877904317596;A
2011;2482;% Turistas;5.284523139132256;A
2011;2713;% Turistas;15.391297466342401;A
2011;2797;% Turistas;6.858008616201995;A
2011;2911;% Turistas;2.8248320450657767;A
2011;3023;% Turistas;34.3079315265001;A
2011;3142;% Turistas;12.54501948404122;A
2012;3143;% Turistas;100.0;A
2012;2352;% Turistas;8.656980560048297;A
2012;2402;% Turistas;15.160475327668617;A
2012;2482;% Turistas;6.216932344092388;A
2012;2713;% Turistas;14.973867277930678;A
2012;2797;% Turistas;7.302759264964164;A
2012;2911;% Turistas;2.5484961412230307;A
2012;3023;% Turistas;32.758535093002074;A
2012;3142;% Turistas;12.381953991070748;A
2013;3143;% Turistas;100.0;A
2013;2352;% Turistas;8.658728919855182;A
2013;2402;% Turistas;15.489172659756079;A
2013;2482;% Turistas;5.919018218388018;A
2013;2713;% Turistas;15.322974199037517;A
2013;2797;% Turistas;7.745549734872721;A
2013;2911;% Turistas;2.303652290533112;A
2013;3023;% Turistas;32.94455280160836;A
2013;3142;% Turistas;11.616351175949006;A
2014;3143;% Turistas;100.0;A
2014;2352;% Turistas;8.458299102550667;A
2014;2402;% Turistas;15.661060684903125;A
2014;2482;% Turistas;6.192208109617532;A
2014;2713;% Turistas;16.08812100203258;A
2014;2797;% Turistas;7.2277765184753;A
2014;2911;% Turistas;2.247981178112755;A
2014;3023;% Turistas;32.23199076520149;A
2014;3142;% Turistas;11.892562639106561;A
2015;3143;% Turistas;100.0;A
2015;2352;% Turistas;8.446327827328904;A
2015;2402;% Turistas;15.360930712692413;A
2015;2482;% Turistas;5.81217970731781;A
2015;2713;% Turistas;15.75430387995021;A
2015;2797;% Turistas;7.288699298503662;A
2015;2911;% Turistas;2.556875289343711;A
2015;3023;% Turistas;32.47088926814368;A
2015;3142;% Turistas;12.30979401671963;A
2016;3143;% Turistas;100.0;A
2016;2352;% Turistas;8.09915912459528;A
2016;2402;% Turistas;15.271851455966262;A
2016;2482;% Turistas;6.230074146477634;A
2016;2713;% Turistas;15.557621569526106;A
2016;2797;% Turistas;7.393261435243782;A
2016;2911;% Turistas;2.6907963330776354;A
2016;3023;% Turistas;31.81616108179519;A
2016;3142;% Turistas;12.941074853318108;A
2017;3143;% Turistas;100.0;A
2017;2352;% Turistas;8.129167136619158;A
2017;2402;% Turistas;15.535694321008345;A
2017;2482;% Turistas;6.255069870724183;A
2017;2713;% Turistas;14.948829429958247;A
2017;2797;% Turistas;7.521280504665075;A
2017;2911;% Turistas;2.7193844262334887;A
2017;3023;% Turistas;31.97367930594367;A
2017;3142;% Turistas;12.916895004847847;A
2018;3143;% Turistas;100.0;A
2018;2352;% Turistas;8.35420999328791;A
2018;2402;% Turistas;15.480452945448315;A
2018;2482;% Turistas;6.002061389537532;A
2018;2713;% Turistas;15.299495179578374;A
2018;2797;% Turistas;7.561927359841205;A
2018;2911;% Turistas;2.6611580147364706;A
2018;3023;% Turistas;31.45468378273155;A
2018;3142;% Turistas;13.186011334838652;A
2019;3143;% Turistas;100.0;A
2019;2352;% Turistas;7.988429577598895;A
2019;2402;% Turistas;15.454246168568853;A
2019;2482;% Turistas;5.841415043060846;A
2019;2713;% Turistas;15.562238042257718;A
2019;2797;% Turistas;7.925756707837717;A
2019;2911;% Turistas;2.536986276610133;A
2019;3023;% Turistas;31.495316752461182;A
