ID;NAME;DESCRIPTION;PARENTCODE;ORDER
1046;() Rúbricas;Rúbricas;;0
62032;(01) 01. Cereales y derivados;01. Cereales y derivados;;1
62033;(02) 02. Pan;02. Pan;;2
62034;(03) 03. Carne de vacuno;03. Carne de vacuno;;3
62035;(04) 04. Carne de ovino;04. Carne de ovino;;4
62036;(05) 05. Carne de porcino;05. Carne de porcino;;5
62037;(06) 06. Carne de ave;06. Carne de ave;;6
62038;(07) 07. Otras carnes;07. Otras carnes;;7
62039;(08) 08. Pescado fresco y congelado;08. Pescado fresco y congelado;;8
62040;(09) 09. Crustáceos, moluscos y preparados de pescado;09. Crustáceos, moluscos y preparados de pescado;;9
62041;(10) 10. Huevos;10. Huevos;;10
62042;(11) 11. Leche;11. Leche;;11
62043;(12) 12. Productos lácteos;12. Productos lácteos;;12
62044;(13) 13. Aceites y grasas;13. Aceites y grasas;;13
62045;(14) 14. Frutas frescas;14. Frutas frescas;;14
62046;(15) 15. Frutas en conserva y frutos secos;15. Frutas en conserva y frutos secos;;15
62047;(16) 16. Legumbres y hortalizas frescas;16. Legumbres y hortalizas frescas;;16
62048;(17) 17. Preparados de legumbres y hortalizas;17. Preparados de legumbres y hortalizas;;17
62049;(18) 18. Patata y sus preparados;18. Patata y sus preparados;;18
62050;(19) 19. Café, cacao e infusiones;19. Café, cacao e infusiones;;19
62051;(20) 20. Azúcar;20. Azúcar;;20
62052;(21) 21. Otros preparados alimenticios;21. Otros preparados alimenticios;;21
62053;(22) 22. Agua mineral, refrescos y zumos;22. Agua mineral, refrescos y zumos;;22
62054;(23) 23. Bebidas alcohólicas;23. Bebidas alcohólicas;;23
62055;(24) 24. Tabaco;24. Tabaco;;24
62056;(25) 25. Prendas de vestir de hombre;25. Prendas de vestir de hombre;;25
62057;(26) 26. Prendas de vestir de mujer;26. Prendas de vestir de mujer;;26
62058;(27) 27. Prendas de vestir de niño y bebé;27. Prendas de vestir de niño y bebé;;27
62059;(28) 28. Complementos y reparaciones de prendas de vest;28. Complementos y reparaciones de prendas de vest;;28
62060;(29) 29. Calzado de hombre;29. Calzado de hombre;;29
62061;(30) 30. Calzado de mujer;30. Calzado de mujer;;30
62062;(31) 31. Calzado de niño;31. Calzado de niño;;31
62063;(32) 32. Reparación de calzado;32. Reparación de calzado;;32
62064;(33) 33. Vivienda en alquiler;33. Vivienda en alquiler;;33
62065;(34) 34. Calefacción, alumbrado y distribución de agua;34. Calefacción, alumbrado y distribución de agua;;34
62066;(35) 35. Conservación de la vivienda;35. Conservación de la vivienda;;35
62067;(36) 36. Muebles y revestimientos de suelo;36. Muebles y revestimientos de suelo;;36
62068;(37) 37. Textiles y accesorios para el hogar;37. Textiles y accesorios para el hogar;;37
62069;(38) 38. Electrodomésticos y reparaciones;38. Electrodomésticos y reparaciones;;38
62070;(39) 39. Utensilios y herramientas para el hogar;39. Utensilios y herramientas para el hogar;;39
62071;(40) 40. Artículos no duraderos para el hogar;40. Artículos no duraderos para el hogar;;40
62072;(41) 41. Servicios para el hogar;41. Servicios para el hogar;;41
62073;(42) 42. Servicios médicos y similares;42. Servicios médicos y similares;;42
62074;(43) 43. Medicamentos y material terapéutico;43. Medicamentos y material terapéutico;;43
62075;(44) 44. Transporte personal;44. Transporte personal;;44
62076;(45) 45. Transporte público urbano;45. Transporte público urbano;;45
62077;(46) 46. Transporte público interurbano;46. Transporte público interurbano;;46
62078;(47) 47. Comunicaciones;47. Comunicaciones;;47
62079;(48) 48. Objetos recreativos;48. Objetos recreativos;;48
62080;(49) 49. Publicaciones;49. Publicaciones;;49
62081;(50) 50. Esparcimiento;50. Esparcimiento;;50
62082;(51) 51. Educación infantil y primaria;51. Educación infantil y primaria;;51
62083;(52) 52. Educación secundaria;52. Educación secundaria;;52
62084;(53) 53. Educación universitaria;53. Educación universitaria;;53
62085;(54) 54. Otros gastos de enseñanza;54. Otros gastos de enseñanza;;54
62086;(55) 55. Artículos de uso personal;55. Artículos de uso personal;;55
62087;(56) 56. Turismo y hostelería;56. Turismo y hostelería;;56
62088;(57) 57. Otros bienes y servicios;57. Otros bienes y servicios;;57
